Issue Type,Issue key,Parent key,Summary,Description,Status,Priority,Story Points,Sprint,Epic Name,Epic Link,Assignee Role,Start Date,Due Date
Epic,SMBG-1,,"Autentikasi Pengguna & WhatsApp OTP Gateway","Infrastruktur registrasi, login multi-peran, dan verifikasi nomor HP menggunakan WhatsApp OTP.",To Do,Highest,,,Autentikasi & WhatsApp OTP,,Tech Lead,2026-09-14,2026-09-25
Epic,SMBG-2,,"Fitur Rantai Pasok Pangan Terpadu","Alur transaksi operasional: pesanan SPPG ke Supplier, armada logistik, dan katalog pangan.",To Do,High,,,Rantai Pasok Pangan,,Tech Lead,2026-09-16,2026-10-02
Epic,SMBG-3,,"Infrastruktur Cloud VPS Database & Domain ID","Setup server produksi VPS, Nginx, SSL, database cloud PostgreSQL, dan pipeline deployment.",To Do,Highest,,,Infrastruktur & Cloud,,DevOps Lead,2026-09-14,2026-09-25
Epic,SMBG-4,,"Quality Assurance Security & Testing Lokal","Testing lokal staging, pengujian fungsional end-to-end, audit OWASP, dan uji beban traffic.",To Do,High,,,QA & Keamanan,,QA Lead,2026-09-17,2026-10-09
Epic,SMBG-5,,"Pilot Trial Pelatihan Pengguna & Grand Launching","Uji coba lapangan SPPG Cikajang, buku panduan operator, pelatihan dinas, dan peluncuran resmi.",To Do,Highest,,,Launching & Operasional,,Project Manager,2026-10-05,2026-10-14
Story,SMBG-10,,"Pengadaan Domain Resmi .ID & Setup Cloudflare DNS","Sebagai instansi pengelola, saya ingin web menggunakan domain resmi .id yang aman, sehingga web memiliki identitas legal dan kredibel di mata publik.",To Do,High,2,Sprint 1,,SMBG-3,Project Manager,2026-09-14,2026-09-16
Sub-task,SMBG-10-1,SMBG-10,"Pembelian domain smartmbg.id & upload berkas verifikasi PANDI","Pemesanan domain di registrar dan pengunggahan berkas KTP/legalitas instansi.",To Do,High,1,Sprint 1,,,Project Manager,2026-09-14,2026-09-15
Sub-task,SMBG-10-2,SMBG-10,"Penyambungan Name Server domain ke Cloudflare DNS Management","Konfigurasi NS record, proteksi proxy Cloudflare, dan persiapan routing A Record ke server.",To Do,High,1,Sprint 1,,,DevOps Engineer,2026-09-15,2026-09-16
Story,SMBG-6,,"Pendaftaran Akun Multi-Peran dengan WhatsApp OTP","Sebagai calon pengguna (Warga, Mitra SPPG, Supplier, Logistik), saya ingin mendaftar dengan nomor WhatsApp aktif dan verifikasi OTP, sehingga akun saya terverifikasi secara valid dan aman.",To Do,Highest,5,Sprint 1,,SMBG-1,Frontend Developer,2026-09-14,2026-09-16
Sub-task,SMBG-6-1,SMBG-6,"Validasi form registrasi 4 entitas (Warga, Mitra, Supplier, Logistik)","Implementasi skema validasi input form spesifik (NIK Warga, NIB/izin SPPG, armada Logistik, katalog Supplier).",To Do,Highest,2,Sprint 1,,,Frontend Developer,2026-09-14,2026-09-15
