Tanggal,Sprint,Kode Tiket,Aktivitas / Deliverables,Kategori / Modul,Status,PIC / Pelaksana,Keterangan & Hasil
2026-09-14,Sprint 1,SMBG-6,Formulir Registrasi 4 Peran Terintegrasi,Frontend / Auth,✅ Selesai,Frontend Dev,"Formulir Mitra, Supplier, Logistik, dan Warga dengan validasi NIK 16 digit & nomor HP."
2026-09-14,Sprint 1,SMBG-6,Integrasi WhatsApp OTP Gateway (Fonnte),Integrasi API,✅ Selesai,Backend Dev,"Pengiriman kode verifikasi 6 digit via gateway Fonnte (bot aktif 082121288526)."
2026-09-14,Sprint 1,SMBG-10,Penyusunan Roadmap & Grand Timeline 23 Hari,Project Management,✅ Selesai,Project Manager,"Pembuatan Google Sheets Roadmap, Gantt Chart, dan file Jira CSV (docs/16)."
2026-09-14,Sprint 1,SMBG-7,Inisialisasi Arsitektur Database Hybrid,Database,✅ Selesai,Database Eng,"Setup adapter Supabase Cloud dengan fallback localStorage resilient (docs/15)."
2026-09-15,Sprint 1,SMBG-9,Penerapan 3-Layer Security Autentikasi Login,Security / Auth,✅ Selesai,Fullstack Dev,"Layer 1: Cek email-password ketat; Layer 2: Cek role portal; Layer 3: ProtectedRoute guard URL."
2026-09-15,Sprint 1,SMBG-9,Penutupan Celah Bypass Login Salah Password,Security / Auth,✅ Selesai,Fullstack Dev,"Memperbaiki autentikasi sehingga kredensial salah tidak bisa lagi menembus dashboard (docs/19)."
2026-09-15,Sprint 1,SMBG-6,Pembuatan Pusat Data Pendaftar Baru Admin,Frontend / Admin,✅ Selesai,Frontend Dev,"Menu /admin/pendaftar-baru dengan filter tab peran (Mitra, Supplier, Logistik, Warga)."
2026-09-15,Sprint 1,SMBG-6,Pembuatan Halaman Manajemen Warga/Penerima,Frontend / Admin,✅ Selesai,Frontend Dev,"Menu /admin/warga lengkap dengan NIK KTP, status verifikasi WA, dan popup detail."
2026-09-15,Sprint 1,SMBG-6,Integrasi Live Data Mitra Supplier & Logistik,Frontend / Admin,✅ Selesai,Frontend Dev,"Mengubah data statis/dummy di /admin/mitra, /admin/suppliers, /admin/logistik menjadi data live."
2026-09-15,Sprint 1,SMBG-6,Format Lengkap Waktu Pendaftaran Pengguna,UI / UX Admin,✅ Selesai,Frontend Dev,"Menampilkan Hari, Tanggal, Bulan, Tahun & Jam:Menit:Detik WIB di tabel dan modal (docs/18)."
2026-09-15,Sprint 1,SMBG-7,Sinkronisasi Realtime Supabase Cloud & Broadcast,Database / Realtime,✅ Selesai,Database Eng,"Pendaftaran baru langsung upsert ke Supabase & auto-update tabel Admin via WebSocket & Broadcast."
2026-09-15,Sprint 1,SMBG-28,Pengujian Build Produksi (Vite Production Build),QA / DevOps,✅ Selesai,DevOps Eng,"Uji npm run build sukses (exit code 0 dalam 26 detik) dengan 0 error sintaks."
2026-09-15,Sprint 1,SMBG-28,Dokumentasi Audit Sistem & Lokasi Supabase,Dokumentasi,✅ Selesai,Technical Writer,"Penyusunan dokumen panduan lokasi data Supabase & audit zero issues (docs/20)."
2026-09-15,Sprint 1,SMBG-7,Konfigurasi RLS & Publikasi Realtime Orders Supabase,Database / Realtime,✅ Selesai,Database Eng,"Eksekusi SQL pembebasan RLS tabel orders & user_profiles serta publikasi streaming realtime supabase_realtime."
2026-09-15,Sprint 3,SMBG-16,Integrasi Alur Pemesanan Bahan Baku Mitra ke Supplier,Frontend / Transaksi,✅ Selesai,Fullstack Dev,"Checkout MitraCart tersimpan ke Supabase Cloud dan tampil seketika di notifikasi pesanan SupplierOrders."
2026-09-15,Sprint 3,SMBG-16,Sanitasi Payload & Adaptor Skema PostgREST Supabase,Backend / DB Adapter,✅ Selesai,Backend Dev,"Pemetaan total_amount ke total serta penyesuaian kolom driver agar tidak ditolak schema cache Supabase."
2026-09-15,Sprint 1,SMBG-27,Uji Otomatis 30 Kasus Alur Auth & Transaksi End-to-End,QA / Testing,✅ Selesai,QA Tester,"30 test PASS (0 FAIL), verifikasi alur pemesanan Dapur SPPG -> Supabase -> Supplier (Cloud UUID)."
